['Unnamed: 0', '1', -0.15300138123807625]
['1', 'Unnamed: 0', -0.15300138123807625]
['Unnamed: 0', '4', -0.12161686765321743]
['4', 'Unnamed: 0', -0.12161686765321743]
['Unnamed: 0', '0', -0.11017706948376714]
['0', 'Unnamed: 0', -0.11017706948376714]
['Unnamed: 0', '7', -0.0922080119186697]
['7', 'Unnamed: 0', -0.0922080119186697]
['6', '9', -6.586947098520253e-16]
['9', '6', -6.586947098520253e-16]
['4', '8', -5.352846972204474e-16]
['8', '4', -5.352846972204474e-16]
['4', '6', -4.159456084854324e-16]
['6', '4', -4.159456084854324e-16]
['8', '9', -3.7106300176011124e-16]
['9', '8', -3.7106300176011124e-16]
['4', '7', -3.590026261727856e-16]
['7', '4', -3.590026261727856e-16]
['1', '2', -2.2411235976374363e-16]
['2', '1', -2.2411235976374363e-16]
['2', '3', -2.1341434445621413e-16]
['3', '2', -2.1341434445621413e-16]
['6', '8', -2.1300105424506077e-16]
['8', '6', -2.1300105424506077e-16]
['2', '4', -2.060958216276609e-16]
['4', '2', -2.060958216276609e-16]
['2', '9', -1.9481867555836787e-16]
['9', '2', -1.9481867555836787e-16]
['0', '3', -1.730674141521166e-16]
['3', '0', -1.730674141521166e-16]
['0', '1', -1.7238680369636898e-16]
['1', '0', -1.7238680369636898e-16]
['1', '4', -1.7094369446618988e-16]
['4', '1', -1.7094369446618988e-16]
['3', '7', -1.6576046919850134e-16]
['7', '3', -1.6576046919850134e-16]
['2', '6', -1.5447064150186848e-16]
['6', '2', -1.5447064150186848e-16]
['0', '6', -1.0571861077565249e-16]
['6', '0', -1.0571861077565249e-16]
['1', '5', -1.0275097630809581e-16]
['5', '1', -1.0275097630809581e-16]
['1', '7', -7.69194854775568e-17]
['7', '1', -7.69194854775568e-17]
['1', '9', -4.9322529564641774e-17]
['9', '1', -4.9322529564641774e-17]
['5', '8', -3.368966571278376e-17]
['8', '5', -3.368966571278376e-17]
['2', '7', -3.3061170196242327e-17]
['7', '2', -3.3061170196242327e-17]
['1', '3', -3.0164352727279004e-17]
['3', '1', -3.0164352727279004e-17]
['3', '8', -2.4721675566413406e-17]
['8', '3', -2.4721675566413406e-17]
['0', '8', -4.703455700542841e-18]
['8', '0', -4.703455700542841e-18]
['4', '9', 0.0]
['9', '4', 0.0]
['0', '2', 6.790983649399012e-18]
['2', '0', 6.790983649399012e-18]
['1', '8', 1.1810285445465842e-17]
['8', '1', 1.1810285445465842e-17]
['1', '6', 2.0478139807102922e-17]
['6', '1', 2.0478139807102922e-17]
['0', '7', 2.297493533006432e-17]
['7', '0', 2.297493533006432e-17]
['5', '7', 5.91210190748301e-17]
['7', '5', 5.91210190748301e-17]
['7', '8', 6.341058253293981e-17]
['8', '7', 6.341058253293981e-17]
['5', '6', 7.757459249126146e-17]
['6', '5', 7.757459249126146e-17]
['3', '5', 8.535691869091714e-17]
['5', '3', 8.535691869091714e-17]
['3', '9', 9.783467721671214e-17]
['9', '3', 9.783467721671214e-17]
['7', '9', 1.132830440477278e-16]
['9', '7', 1.132830440477278e-16]
['0', '9', 1.14582633461066e-16]
['9', '0', 1.14582633461066e-16]
['3', '6', 1.351468203788787e-16]
['6', '3', 1.351468203788787e-16]
['4', '5', 1.9757158615942934e-16]
['5', '4', 1.9757158615942934e-16]
['2', '8', 2.092973272871399e-16]
['8', '2', 2.092973272871399e-16]
['0', '5', 2.1890227611174656e-16]
['5', '0', 2.1890227611174656e-16]
['2', '5', 2.1997039178380892e-16]
['5', '2', 2.1997039178380892e-16]
['5', '9', 2.4220550197868045e-16]
['9', '5', 2.4220550197868045e-16]
['0', '4', 2.715222465208246e-16]
['4', '0', 2.715222465208246e-16]
['6', '7', 4.592525970956091e-16]
['7', '6', 4.592525970956091e-16]
['3', '4', 1.3084992526185303e-15]
['4', '3', 1.3084992526185303e-15]
['Unnamed: 0', '8', 0.01671712925217079]
['8', 'Unnamed: 0', 0.01671712925217079]
['Unnamed: 0', '3', 0.02866331115472955]
['3', 'Unnamed: 0', 0.02866331115472955]
['Unnamed: 0', '2', 0.05549321642936017]
['2', 'Unnamed: 0', 0.05549321642936017]
['Unnamed: 0', '9', 0.08888249612547562]
['9', 'Unnamed: 0', 0.08888249612547562]
['Unnamed: 0', '6', 0.19678083909678962]
['6', 'Unnamed: 0', 0.19678083909678962]
['Unnamed: 0', '5', 0.3040450090948204]
['5', 'Unnamed: 0', 0.3040450090948204]
['Unnamed: 0', 'Unnamed: 0', 1.0]
['0', '0', 1.0]
['1', '1', 1.0]
['2', '2', 1.0]
['3', '3', 1.0]
['4', '4', 1.0]
['5', '5', 1.0]
['6', '6', 1.0]
['7', '7', 1.0]
['8', '8', 1.0]
['9', '9', 1.0]
