,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,group
0,2.0,9.0,10.0,12.0,18.0,20.0,23.0,32.0,34.0,40.0,47.0,56.0,58.0,60.0,74.0,85.0,86.0,73.0,48.0,44.0,3.0,13.0,14.0,33.0,62.0,49.0,16.0,1.0,5.0,84.0,0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
